Year,School Name,Suburb,Sector,Type,Latitude,Longitude,Remoteness,Remoteness Category,LGA
2020,Mickleham Primary School,MICKLEHAM,Government,Primary,-37.563336,144.877199,0,Major Cities,Hume (C)
2020,Inglewood Primary School,INGLEWOOD,Government,Primary,-36.573945,143.870446,1,Inner Regional,Loddon (S)
2020,Chewton Primary School,CHEWTON,Government,Primary,-37.0821,144.261,1,Inner Regional,Mount Alexander (S)
2020,Bolinda Primary School,BOLINDA,Government,Primary,-37.4335933,144.7457048,1,Inner Regional,Macedon Ranges (S)
2020,Napoleons Primary School,NAPOLEONS,Government,Primary,-37.67809255,143.8261417,1,Inner Regional,Golden Plains (S)
2020,Kew Primary School,KEW,Government,Primary,-37.80463,145.033156,0,Major Cities,Boroondara (C)
2020,Haddon Primary School,HADDON,Government,Primary,-37.58863962,143.7217144,1,Inner Regional,Golden Plains (S)
2020,Panmure Primary School,PANMURE,Government,Primary,-38.32935021,142.732528,1,Inner Regional,Moyne (S)
2020,Sorrento Primary School,SORRENTO,Government,Primary,-38.3417,144.741,0,Major Cities,Mornington Peninsula (S)
2020,Alfredton Primary School,ALFREDTON,Government,Primary,-37.55496802,143.8017398,1,Inner Regional,Ballarat (C)
2020,Bridgewater Primary School,BRIDGEWATER ON LODDON,Government,Primary,-36.603101,143.945917,1,Inner Regional,Loddon (S)
2020,Hastings Primary School,HASTINGS,Government,Primary,-38.299463,145.189121,0,Major Cities,Mornington Peninsula (S)
2020,Yackandandah Primary School,YACKANDANDAH,Government,Primary,-36.312095,146.836458,1,Inner Regional,Indigo (S)
2020,Nagambie Primary School,NAGAMBIE,Government,Primary,-36.787589,145.157226,1,Inner Regional,Strathbogie (S)
2020,Heyfield Primary School,HEYFIELD,Government,Primary,-37.9816,146.785,1,Inner Regional,Wellington (S)
2020,Moorabbin Primary School,MOORABBIN,Government,Primary,-37.942362,145.039171,0,Major Cities,Kingston (C) (Vic.)
2020,Mansfield Primary School,MANSFIELD,Government,Primary,-37.055507,146.085062,2,Outer Regional,Mansfield (S)
2020,Middle Indigo Primary School,INDIGO VALLEY,Government,Primary,-36.156013,146.72484,1,Inner Regional,Indigo (S)
2020,Briagolong Primary School,BRIAGOLONG,Government,Primary,-37.842801,147.067843,2,Outer Regional,Wellington (S)
